Category,Component,Quantity,Price Units CHF,Price Single CHF,Price Order CHF,Shipping CHF,Pieces in Order CHF,Link CHF,Price Units USD,Price Single USD,Price Order USD,Shipping USD,Pieces in Order USD,Link USD
Electronics,DYNAMIXEL XC330-T288-T,16,1808,113,1808,0,1,https://www.mybotshop.de/DYNAMIXEL-XC330-T288-T_3,1582.24,98.89,1582.24,0,1,https://www.robotis.us/dynamixel-xc330-t288-t/
Electronics,DYNAMIXEL XC430-T240BB-T,1,123,123,123,0,1,https://www.mybotshop.de/DYNAMIXEL-XC430-T240BB-T_3,131.89,131.89,131.89,0,1,https://www.robotis.us/dynamixel-xc430-t240bb-t/
Electronics,U2D2 Controller,1,47.7,47.7,47.7,0,1,https://www.mybotshop.de/ROBOTIS-DYNAMIXEL-U2D2_1,35.31,35.31,35.31,0,1,https://www.robotis.us/u2d2/
Electronics,U2D2 Power Hub,1,34,34,34,0,1,https://www.mybotshop.de/ROBOTIS-DYNAMIXEL-U2D2-Power-Hub_1,20.9,20.9,20.9,22,1,https://www.robotis.us/u2d2-power-hub-board-set/?srsltid=AfmBOopFtFC5-doocga1CsAddlNUE5dPpN_95E6bNEMtp0NREVx9f3Wu
Electronics,Power Supply 12V 5A PS-10,1,39.3,39.3,39.3,0,1,https://www.mybotshop.de/ROBOTIS-SMPS-12V-5A_2,18.9,18.9,18.9,139,1,https://www.robotis.us/smps-12v-5a-ps-10-us-110v/
Electronics,USB Cable ,1,11.85,11.85,11.85,38,1,https://www.mybotshop.de/Lightware-USB-cable-for-SF11-SF30-SF20,6.5,13,13,0,2,https://www.amazon.com/PS4-Controller-Charging-Cable-Compatible/dp/B07X6CWM3G?crid=2V3LPMUJAVC6Y&dib=eyJ2IjoiMSJ9.d9GbPrClHgJUgMX7ruSl3LZSANgpB8V9J95sVMjcd0ffkMpmfVedlvLhOBMUFg6F6mEy6ifkXJE8YKWEz4v_tIiS3d9ioyC7BmJX2Zp9e8FqyZvjDlFrQtN8VL2dvZbVkU_d5Zp-pBGPgjb2lw62bMZer0pOgGulAi50LDm1rUzbEuOMrUvDlPLH4rHeYrkGTvAyVVZBWckdOTU3X8WSBeCkx_xpJOwW21ADitS1gds.irP-CQEFSVxfpdrOCjYAtTrwgRdJAmli2_EO1fNHI4U&dib_tag=se&keywords=micro%2Busb%2Bcable&qid=1742848224&sprefix=micro%2Busb%2Bcable%2Caps%2C401&sr=8-6&th=1
Electronics,Motor Connectors,13,143,11,143,0,1,https://www.orcahand.com/dashboard,143,11,143,0,1,https://www.orcahand.com/dashboard
Electronics,Cooling Fan 12V 50x50x10,2,8.61,8.61,8.61,0,2,https://www.amazon.de/-/en/GDSTIME-5010-Cooling-Case-Brushless/dp/B08Z35Z62Y?crid=1NQPSJYI5R6NU&dib=eyJ2IjoiMSJ9.yqJo_Z9xkKmhnWxUmAYTzwgSWv2iTLrVmBH4vsAuiAVw_xfUhQoQCchyqUlK-tu57Aoal7WQzcLzrotV6xGL5C5TWLbicgXNnPR32VBr4wIfE9gwrgPCPXRY0vo3dRoFNwavRlp9dgaoivKzNoXzSQoZl0rGSKk3NzPSzQLmoxbvodu4IJ-j1DQD6dC3w-07VCvxm1OJHGYcD66xDdQrzHdBGNgF6tbhChLuxp2pl5s.Hy5zDbnOzwkszDRfmWWG77QcVdZoHSrvdYcvWf5E0Mg&dib_tag=se&keywords=Cooling%2BFan%2B12V%2B50x50x10&qid=1742850193&sprefix=cooling%2Bfan%2B12v%2B50x50x10%2Caps%2C139&sr=8-4&th=1,12.78,6.39,12.78,17,1,https://www.amazon.com/DAKKZA-Cooling-5010-Brushless-5000RPM/dp/B0CWDDSF62?crid=MVRMAEZ1LM2G&dib=eyJ2IjoiMSJ9.RehKnakKgMoCJrDpecK-FGj2He-kGuLjaiRiDGU_OnF6Mw0ZJMYrXLKSjqLglxypKlqTCE848qoeO9Zp8NzFcxKU3YxFN2wVSAv3TWUZtNKKxFYh90Q3Oau8HG4hRlfZkManzrrKmjwyNVIhfgfzAdTWNwE5I-_v9ch2w6ttnJUQJoWKPc-iIRvXVLDgA3oKilY5qTLvsCnWESEGimU9EWsIo2pjgL8DYWxZ2NvctkI.TFYnq5542MKH9SFvZkyPJbEWYtRjhm_JDLEcWqfHm4M&dib_tag=se&keywords=50+x+50+x+10+Fan+2+Pin&qid=1747925475&sprefix=50+x+50+x+10+fan+2+pin%2Caps%2C247&sr=8-3
Mechanical,Bearing 4x8x3,35,30.87,8.82,35.28,0,10,https://www.amazon.de/sourcing-map-Rillenkugellager-Innendurchm-Abgedichtet/dp/B0834RKYH2?crid=M8LO89TD8ETO&dib=eyJ2IjoiMSJ9.zFboX_6LSapmSlRAbdbiL-JnzJJklA7bob-FWwSr7J8JH8FreV7kfiZgj_xUvDBMZbDzNOSnfeDLAbb0_QpYHEuRw1jIM4zFJvf1syUROfvT2WtAVNC-0VWRURKK0HcE7AaK10QvK1IXpjzFDn3BBM8d3MtmLydiS8Eo5pii8rjMzgfTFTKW7LfBPPgz6xCMZqjiAQ9Ye3bYH5i6MyYfiuXfXNZpNfUrC4Yg8h0TvTEwKmOH7o-Yt4TUXuKkY-QQ6YSavLZk7XFpLlhSvaniVyybzcDkioVX3i0pZ6roCmQ.FvoCxV_Nxbi_2czr5TQqnob3SxJ1hOpUYy3FM3Le_iU&dib_tag=se&keywords=kugellager+4x8x3&qid=1728234595&sprefix=kugellager+4x8%2Caps%2C123&sr=8-3,24.465,6.99,27.96,22,10,https://www.amazon.com/4x8x3mm-Skateboard-Bearings-MR84ZZ-L-840ZZ/dp/B00ZHSRTYK/ref=sr_1_3?crid=L1O50B2AOZ1L&dib=eyJ2IjoiMSJ9.KTP4Lt1tnQZxcYYEzfwCDVPRRyOFbFo5WS8uaU4hBTEgxZXdCDv26OJjdEt2J91Ir5ILK5O9GIwNCI0K2LbsbjkadFp0zmN8FLYkjd-8p9ZMRq04d2PSYPEFs50JIP13pSY0s829NFDJ2ZRdErvmVpD830j7d9VsK7qfoHKbOCeman2-sbauK1zaI1jpozQKBmHtBwPqo7S5OfSA_MZNXzaL49uz1oALTPigMjbAeHo.NrvZa8e7jGnywx-6Erk23MMSyeqEfciJHCBpgfoizHI&dib_tag=se&keywords=bearing+4x8x3&qid=1744568905&sprefix=bearring+4x8x%2Caps%2C188&sr=8-3
Mechanical,Bearing 6x13x5,2,1.3,6.5,6.5,0,10,https://www.amazon.de/-/en/Bearings-Protected-Printers-Machines-Mechanical/dp/B092QNFFW5?crid=28D20CSW7PQX8&dib=eyJ2IjoiMSJ9.pgDiHV4gCmhojcbm1paT5jjRbYDmtAMwcyAc6SYWhfn7wrMV3MxRqgIMYKlZHy6y-bLqIavZBj9Zb0dicm6uBFSDadB1Lp8PH3dMhnYAm2IEyUElT2aeG4_pQtbmQQADCA8p5UAyJia0iqsYY-jknuQvioMVjkHziPaAECG6ubrXnWvZWAVThHx6r1oQo5INpo8Tksbjllb1EIUqm6th-4o8z7dysxqTNQ2VnnBMLlkvf2hRB55cymmK45r4Ek5vkWfc3w6yTtUpEZWHDknYP1-DQPevbuTGFFj8P62QrmxvrJQxXpCJSZYXpbuNtxPuKfxI0QqjuT15aDKEAgBhn_ZVUObd-hQy4T4DbmVS4sVDi3U6ZaNPbXwJuuXyl5K1670RrRC8TOho6U01VkPEET6fZPLHGiTz7B9WKeF0QFJAq7Oq4dmW-agt55jWS6Hy.ueeWbBiwL9vOMxwqs3f3Ai-FY-cY35ltqwqEwVH5STQ&dib_tag=se&keywords=bearing%2B6%2B13%2B5&qid=1738787608&sprefix=bearing%2B6%2B13%2B5%2Caps%2C89&sr=8-5&th=1,0.999,9.99,9.99,0,20,https://www.amazon.com/HiPicco-686-2RS-Bearings-Miniature-Pre-Lubricated/dp/B0CH2ZDCZY/ref=sr_1_7?crid=21F7BFGPK7WEV&dib=eyJ2IjoiMSJ9.t95GY8uC_3rg3e3_LOPlbxFmW5sLC3sNwGgf3c_rjelriyKUiL_M00HAV70LOFRKoJF617v01-grJzb1sAD30CLtcSD-fJ9hdgzc_xnklTbCyPHcBR2NlllcxQgAhRA46lfm4XE2u3_JDX-FLWnvN6HRfjPmDivn9S3uo42F9wB5Jpul6t7h8czCY4gybxzMHrmORt4U1o5XUF-CgXceiJ1N1H8m2qnXbVMFFRVBcCK6DupHbmjMkEQbmwd0uNFKONuUslRAi8cLMULf8PpxhAfoZkvgoG-G6o8F4srEd7s.-CQLePf_sn54r8JxTB9ag9fLqoReVXLOB3XcTPPzP4k&dib_tag=se&keywords=bearing%2B6x13x5&qid=1744569021&sprefix=bearring%2B6x13x5%2Caps%2C230&sr=8-7&th=1
